cds,lea,county,i_exp,i_all,ii_exp,ii_all,iii_exp,iii_all,iii_plan_link
01100170000000,Alameda County Office of Education,Alameda,442110,442110,2458641,2458641,4970349,5526880,https://drive.google.com/file/d/1-aUU57hyWygnThjrSnX5ULYAJJG2BXZF/view
01100170112607,Envision Academy for Arts & Technology,Alameda,102727,102727,406811,406811,914487,914487,https://envisionacademy.org/wp-content/uploads/sites/3/2021/10/2021_ESSER_III_Expenditure_Plan_Envision_Academy_of_Arts___Technology_20211018.pdf
01100170123968,Community School for Creative Education,Alameda,54193,54193,284566,284566,531856,639687,https://img1.wsimg.com/blobby/go/edfc2ce1-49d4-48bc-9107-a4c585807926/downloads/esseriiiexpenditureplan.pdf?ver=1650043745141
01100170124172,Yu Ming Charter,Alameda,NaN,NaN,45462,45462,102196,102196,https://www.yumingschool.org/wp-content/uploads/2021/10/YU-MING-ESSER-III-EP.docx.pdf
01100170125567,Urban Montessori Charter,Alameda,37887,37887,139675,139675,313981,313981,https://app2.boardontrack.com/attachment/publicDownload/205714?s=spP9c0
01100170129403,Epic Charter,Alameda,NaN,NaN,NaN,NaN,NaN,NaN,
01100170130625,Alternatives in Action,Alameda,62806,62806,248717,248717,460862,559100,https://static1.squarespace.com/static/5f8d0815c629cb328ce4025a/t/617c2c6f76528f19b24dc672/1635527792304/ESSER+III_AIA.pdf
01100170131581,Oakland Unity Middle,Alameda,55942,55942,213324,213324,479541,479541,https://unityschools.app.box.com/s/thqdaecuxlwysqose5w7q20ows4uf952
01100170137448,Aurum Preparatory Academy,Alameda,49831,49831,199130,199130,447632,447632,https://www.aurumprep.org/_files/ugd/2635a7_b4a905ffaa7649639bbfc0d9f9399a16.pdf
01100170138867,Hayward Collegiate Charter,Alameda,19567,19567,78193,78193,150487,175774,https://static1.squarespace.com/static/65a0abaefd47e671ee1fd526/t/65b275f8700d634f689f3415/1706194424171/Hayward_Collegiate_FY22_ESSER_III_Expenditure_Plan__1_.pdf
01100176001788,Cox Academy,Alameda,202392,202392,801493,801493,1801709,1801709,
01100176002000,Lazear Charter Academy,Alameda,154352,154352,611248,611248,1374051,1374051,
01611190000000,Alameda Unified,Alameda,802891,802891,3179530,3179530,7147396,7147396,https://resources.finalsite.net/images/v1656191607/alamedak12caus/nniulu5pg8hi6s6v5f1a/ESSERIIIExpenditurePlan.pdf
